Year	Grid	Season	Tag	Mass	Status
Y1998	GC	September	C3805	19	None
Y1998	GC	August	C3806	17	None
Y1998	GC	September	C3806	21	None
Y1998	GC	September	C3808	25	None
Y1998	GC	October	C3810	22	None
Y1998	GC	September	C3812	20	None
Y1998	GC	September	C3812	22	None
Y1998	GC	October	C3812	19	None
Y1999	GC	June	C3812	24	None
Y1998	GC	June	C3813	18	None
Y1998	GC	August	C3813	19	None
Y1998	GC	September	C3813	25	None
Y1998	GC	August	C3814	18	None
Y1998	GC	September	C3815	21	None
Y1998	GC	September	C3815	22	None
Y1998	GC	October	C3815	23	None
Y1998	GC	September	C3816	22	None
Y1998	GC	September	C3819	20	None
Y1998	GC	June	C3852	16	None
Y1998	GC	August	C3852	22	None
Y1998	GC	September	C3852	23	None
Y1998	GC	September	C3852	23	None
Y1999	GC	June	C3852	25	None
Y1999	GC	June	C3852	24	None
Y1998	GC	June	C3861	22	None
Y1998	GC	October	C3861	22	None
Y1998	GC	May	C3883	21	None
Y1998	GC	June	C3883	21	None
Y1998	GC	August	C3883	24	None
Y1998	GC	September	C3883	26	None
Y1998	GC	September	C3883	25	None
Y1999	GC	June	C3883	25	None
Y1999	GC	June	C3883	25	None
Y1998	GC	May	C3885	25	None
Y1998	GC	June	C3885	25	None
Y1998	GC	August	C3885	27	None
Y1998	GC	September	C3885	33	None
Y1998	GC	September	C3885	28	None
Y1998	GC	October	C3885	24	None
Y1998	GC	June	C3886	23	None
Y1998	GC	June	C3894	23	None
Y1998	GC	August	C3894	24	None
Y1998	GC	October	C3906	20	None
Y1999	GC	June	C3906	22	None
Y1999	GC	June	C3906	23	None
Y1999	GC	July	C3906	23	None
Y1999	GC	August	C3906	22	None
Y1999	GC	September	C3906	24	None
Y1999	GC	October	C3906	22	None
Y1999	GC	September	C3906	28	None
Y1998	GC	October	C3907	18	None
Y1999	GC	July	C3913	24	None
Y1999	GC	June	C3914	25	None
Y1999	GC	June	C3916	27	None
